measure_of_weight,tonnage_type_id,tonnage_type_name,unit_of_measure_id,unit_of_measure_name,primary_vessel_id
499,3,Regulatory (Subpart C or D),64,Long Ton,578740
161,1,Convention (Subpart B),111,Short Ton,578740
161,3,Regulatory (Subpart C or D),111,Short Ton,578740
10,4,Simplified,111,Short Ton,916312
13,4,Simplified,64,Long Ton,916312
7,4,Simplified,111,Short Ton,1228177
7,4,Simplified,64,Long Ton,1228177
8,4,Simplified,111,Short Ton,1228719
10,4,Simplified,64,Long Ton,1228719
5,4,Simplified,111,Short Ton,274333
6,4,Simplified,64,Long Ton,274333
9,4,Simplified,64,Long Ton,661437
9,4,Simplified,111,Short Ton,661437
6,4,Simplified,111,Short Ton,512092
8,4,Simplified,64,Long Ton,512092
11,4,Simplified,64,Long Ton,500995
8,4,Simplified,111,Short Ton,500995
9,4,Simplified,64,Long Ton,606669
7,4,Simplified,111,Short Ton,606669
14,4,Simplified,64,Long Ton,967620
14,4,Simplified,111,Short Ton,967620
21,4,Simplified,111,Short Ton,1020430
26,4,Simplified,64,Long Ton,1020430
764,4,Simplified,111,Short Ton,1058129
764,4,Simplified,64,Long Ton,1058129
10,4,Simplified,111,Short Ton,571076
13,4,Simplified,64,Long Ton,571076
9,4,Simplified,64,Long Ton,661437
9,4,Simplified,111,Short Ton,661437
25,4,Simplified,111,Short Ton,1226414
32,4,Simplified,64,Long Ton,1226414
9,4,Simplified,64,Long Ton,661437
9,4,Simplified,111,Short Ton,661437
13,4,Simplified,64,Long Ton,258367
12,4,Simplified,111,Short Ton,258367
28,4,Simplified,64,Long Ton,634271
23,4,Simplified,111,Short Ton,634271
8,4,Simplified,64,Long Ton,561392
6,4,Simplified,111,Short Ton,561392
735,4,Simplified,64,Long Ton,561563
735,4,Simplified,111,Short Ton,561563
16,4,Simplified,111,Short Ton,1079995
21,4,Simplified,64,Long Ton,1079995
9,4,Simplified,111,Short Ton,504678
11,4,Simplified,64,Long Ton,504678
15,4,Simplified,111,Short Ton,505190
17,4,Simplified,64,Long Ton,505190
13,4,Simplified,64,Long Ton,1031766
10,4,Simplified,111,Short Ton,1031766
13,4,Simplified,64,Long Ton,637332
10,4,Simplified,111,Short Ton,637332
7,4,Simplified,111,Short Ton,1064881
9,4,Simplified,64,Long Ton,1064881
11,4,Simplified,64,Long Ton,1101983
9,4,Simplified,111,Short Ton,1101983
6,4,Simplified,111,Short Ton,512092
8,4,Simplified,64,Long Ton,512092
5,4,Simplified,111,Short Ton,274333
6,4,Simplified,64,Long Ton,274333
18,4,Simplified,111,Short Ton,292728
22,4,Simplified,64,Long Ton,292728
14,4,Simplified,111,Short Ton,290780
18,4,Simplified,64,Long Ton,290780
13,4,Simplified,64,Long Ton,511777
10,4,Simplified,111,Short Ton,511777
7,4,Simplified,64,Long Ton,562018
5,4,Simplified,111,Short Ton,562018
11,4,Simplified,111,Short Ton,627551
14,4,Simplified,64,Long Ton,627551
5,4,Simplified,111,Short Ton,607281
7,4,Simplified,64,Long Ton,607281
44,4,Simplified,111,Short Ton,1029595
56,4,Simplified,64,Long Ton,1029595
10,4,Simplified,111,Short Ton,567911
13,4,Simplified,64,Long Ton,567911
79,4,Simplified,64,Long Ton,1218075
63,4,Simplified,111,Short Ton,1218075
16,4,Simplified,64,Long Ton,273292
12,4,Simplified,111,Short Ton,273292
19,4,Simplified,64,Long Ton,937470
19,4,Simplified,111,Short Ton,937470
12,4,Simplified,64,Long Ton,240322
10,4,Simplified,111,Short Ton,240322
54884,1,Convention (Subpart B),111,Short Ton,1057260
141076,6,Displacement,75,Metric Ton,1057260
94407,1,Convention (Subpart B),64,Long Ton,1057260
108677,5,Dead Weight,75,Metric Ton,1057260
823,4,Simplified,111,Short Ton,1119345
823,4,Simplified,64,Long Ton,1119345
10,4,Simplified,64,Long Ton,564788
8,4,Simplified,111,Short Ton,564788
12,4,Simplified,64,Long Ton,664965
11,4,Simplified,111,Short Ton,664965
20,4,Simplified,111,Short Ton,260969
25,4,Simplified,64,Long Ton,260969
11,4,Simplified,64,Long Ton,630587
11,4,Simplified,111,Short Ton,630587
11,4,Simplified,64,Long Ton,500995
8,4,Simplified,111,Short Ton,500995
3356,3,Regulatory (Subpart C or D),64,Long Ton,263106
4450,5,Dead Weight,120,Ton,263106
8,4,Simplified,111,Short Ton,290088
10,4,Simplified,64,Long Ton,290088
26,4,Simplified,111,Short Ton,614185
33,4,Simplified,64,Long Ton,614185
9,4,Simplified,64,Long Ton,624060
8,4,Simplified,111,Short Ton,624060
8,4,Simplified,64,Long Ton,624063
8,4,Simplified,111,Short Ton,624063
45,4,Simplified,64,Long Ton,628940
36,4,Simplified,111,Short Ton,628940
15,4,Simplified,111,Short Ton,641552
19,4,Simplified,64,Long Ton,641552
20,4,Simplified,64,Long Ton,272142
16,4,Simplified,111,Short Ton,272142
17,4,Simplified,111,Short Ton,567019
21,4,Simplified,64,Long Ton,567019
3,3,Regulatory (Subpart C or D),111,Short Ton,503299
4,3,Regulatory (Subpart C or D),64,Long Ton,503299
4,4,Simplified,64,Long Ton,594624
11,4,Simplified,64,Long Ton,1195396
9,4,Simplified,111,Short Ton,1195396
8,4,Simplified,64,Long Ton,294128
7,4,Simplified,111,Short Ton,294128
12,4,Simplified,64,Long Ton,664965
11,4,Simplified,111,Short Ton,664965
28369,3,Regulatory (Subpart C or D),111,Short Ton,1
50350,1,Convention (Subpart B),111,Short Ton,1
28369,3,Regulatory (Subpart C or D),64,Long Ton,1
50350,1,Convention (Subpart B),64,Long Ton,1
59093,5,Dead Weight,120,Ton,1
15,4,Simplified,64,Long Ton,1204988
12,4,Simplified,111,Short Ton,1204988
9,4,Simplified,111,Short Ton,1231312
10,4,Simplified,64,Long Ton,1231312
11,4,Simplified,64,Long Ton,616791
10,4,Simplified,111,Short Ton,616791
12,4,Simplified,64,Long Ton,509787
11,4,Simplified,111,Short Ton,509787
211,4,Simplified,111,Short Ton,503553
211,4,Simplified,64,Long Ton,503553
235,4,Simplified,111,Short Ton,503554
235,4,Simplified,64,Long Ton,503554
1619,4,Simplified,111,Short Ton,512469
1619,4,Simplified,64,Long Ton,512469
28,4,Simplified,64,Long Ton,699752
25,4,Simplified,111,Short Ton,699752
68570,1,Convention (Subpart B),64,Long Ton,968392
25418,1,Convention (Subpart B),111,Short Ton,968392
71283,5,Dead Weight,120,Ton,968392
95660,6,Displacement,120,Ton,968392
14,4,Simplified,64,Long Ton,1117379
11,4,Simplified,111,Short Ton,1117379
71,4,Simplified,111,Short Ton,250344
89,4,Simplified,64,Long Ton,250344
65,4,Simplified,111,Short Ton,638556
82,4,Simplified,64,Long Ton,638556
14,4,Simplified,64,Long Ton,1108544
11,4,Simplified,111,Short Ton,1108544
14,4,Simplified,64,Long Ton,1117379
11,4,Simplified,111,Short Ton,1117379
19,4,Simplified,111,Short Ton,273675
24,4,Simplified,64,Long Ton,273675
276,4,Simplified,111,Short Ton,647139
276,4,Simplified,64,Long Ton,647139
764,4,Simplified,64,Long Ton,1222454
764,4,Simplified,111,Short Ton,1222454
8643,5,Dead Weight,75,Metric Ton,1228548
13317,6,Displacement,75,Metric Ton,1228548
2403,1,Convention (Subpart B),111,Short Ton,1228548
8009,1,Convention (Subpart B),64,Long Ton,1228548
5,4,Simplified,111,Short Ton,671641
5,4,Simplified,64,Long Ton,671641
8,4,Simplified,111,Short Ton,290088
10,4,Simplified,64,Long Ton,290088
28,4,Simplified,111,Short Ton,503329
31,4,Simplified,64,Long Ton,503329
9530,3,Regulatory (Subpart C or D),111,Short Ton,224455
16342,3,Regulatory (Subpart C or D),64,Long Ton,224455
26998,5,Dead Weight,120,Ton,224455
23,4,Simplified,111,Short Ton,279032
29,4,Simplified,64,Long Ton,279032
46180,5,Dead Weight,75,Metric Ton,1106129
56661,6,Displacement,75,Metric Ton,1106129
29657,1,Convention (Subpart B),64,Long Ton,1106129
12287,1,Convention (Subpart B),111,Short Ton,1106129
9,4,Simplified,64,Long Ton,606669
7,4,Simplified,111,Short Ton,606669
15,4,Simplified,64,Long Ton,619403
12,4,Simplified,111,Short Ton,619403
15,4,Simplified,64,Long Ton,630137
12,4,Simplified,111,Short Ton,630137
10108,1,Convention (Subpart B),111,Short Ton,1108091
17019,1,Convention (Subpart B),64,Long Ton,1108091
28219,5,Dead Weight,120,Ton,1108091
34753,6,Displacement,120,Ton,1108091
14,4,Simplified,111,Short Ton,614262
18,4,Simplified,64,Long Ton,614262
44673,1,Convention (Subpart B),64,Long Ton,624103
44673,3,Regulatory (Subpart C or D),64,Long Ton,624103
49996,5,Dead Weight,75,Metric Ton,624103
67629,6,Displacement,75,Metric Ton,624103
13402,1,Convention (Subpart B),111,Short Ton,624103
21,4,Simplified,111,Short Ton,507367
26,4,Simplified,64,Long Ton,507367
5,4,Simplified,111,Short Ton,274333
6,4,Simplified,64,Long Ton,274333
28369,3,Regulatory (Subpart C or D),111,Short Ton,1
50350,1,Convention (Subpart B),111,Short Ton,1
28369,3,Regulatory (Subpart C or D),64,Long Ton,1
50350,1,Convention (Subpart B),64,Long Ton,1
59093,5,Dead Weight,120,Ton,1
20,4,Simplified,111,Short Ton,503877
25,4,Simplified,64,Long Ton,503877
764,4,Simplified,111,Short Ton,1065234
764,4,Simplified,64,Long Ton,1065234
7,4,Simplified,111,Short Ton,647184
9,4,Simplified,64,Long Ton,647184
30,4,Simplified,64,Long Ton,643657
24,4,Simplified,111,Short Ton,643657
69,4,Simplified,111,Short Ton,512342
87,4,Simplified,64,Long Ton,512342
7,4,Simplified,111,Short Ton,588466
8,4,Simplified,64,Long Ton,588466
147,3,Regulatory (Subpart C or D),64,Long Ton,288198
100,3,Regulatory (Subpart C or D),111,Short Ton,288198
7,4,Simplified,111,Short Ton,270272
9,4,Simplified,64,Long Ton,270272
20,4,Simplified,111,Short Ton,655630
25,4,Simplified,64,Long Ton,655630
23,4,Simplified,64,Long Ton,272950
18,4,Simplified,111,Short Ton,272950
25,4,Simplified,64,Long Ton,272165
20,4,Simplified,111,Short Ton,272165
5,4,Simplified,111,Short Ton,214670
6,4,Simplified,64,Long Ton,214670
10,4,Simplified,111,Short Ton,587272
11,4,Simplified,64,Long Ton,587272
20,4,Simplified,64,Long Ton,505863
16,4,Simplified,111,Short Ton,505863
1998,3,Regulatory (Subpart C or D),111,Short Ton,277557
5602,5,Dead Weight,120,Ton,277557
5707,3,Regulatory (Subpart C or D),64,Long Ton,277557
31,4,Simplified,111,Short Ton,569720
39,4,Simplified,64,Long Ton,569720
8,4,Simplified,64,Long Ton,285106
7,4,Simplified,111,Short Ton,285106
8,4,Simplified,64,Long Ton,287131
7,4,Simplified,111,Short Ton,287131
14,4,Simplified,64,Long Ton,989820
11,4,Simplified,111,Short Ton,989820
10,4,Simplified,64,Long Ton,253895
8,4,Simplified,111,Short Ton,253895
5,4,Simplified,111,Short Ton,470029
7,4,Simplified,64,Long Ton,470029
18,4,Simplified,64,Long Ton,643918
15,4,Simplified,111,Short Ton,643918
7,4,Simplified,111,Short Ton,512111
7,4,Simplified,64,Long Ton,512111
6,4,Simplified,111,Short Ton,276627
8,4,Simplified,64,Long Ton,276627
1998,3,Regulatory (Subpart C or D),111,Short Ton,277557
5602,5,Dead Weight,120,Ton,277557
5707,3,Regulatory (Subpart C or D),64,Long Ton,277557
169,3,Regulatory (Subpart C or D),64,Long Ton,284059
124,3,Regulatory (Subpart C or D),111,Short Ton,284059
11,4,Simplified,64,Long Ton,574610
9,4,Simplified,111,Short Ton,574610
25,4,Simplified,64,Long Ton,272165
20,4,Simplified,111,Short Ton,272165
12,4,Simplified,111,Short Ton,993976
15,4,Simplified,64,Long Ton,993976
24,4,Simplified,64,Long Ton,1124058
22,4,Simplified,111,Short Ton,1124058
7,4,Simplified,111,Short Ton,1228525
9,4,Simplified,64,Long Ton,1228525
20,4,Simplified,64,Long Ton,680357
16,4,Simplified,111,Short Ton,680357
8,4,Simplified,64,Long Ton,967592
6,4,Simplified,111,Short Ton,967592
18070,1,Convention (Subpart B),111,Short Ton,1226412
53533,5,Dead Weight,75,Metric Ton,1226412
65095,6,Displacement,75,Metric Ton,1226412
32637,1,Convention (Subpart B),64,Long Ton,1226412
28,4,Simplified,64,Long Ton,990993
22,4,Simplified,111,Short Ton,990993
31,4,Simplified,64,Long Ton,509915
24,4,Simplified,111,Short Ton,509915
10,4,Simplified,64,Long Ton,1225510
10,4,Simplified,111,Short Ton,1225510
20,4,Simplified,111,Short Ton,503877
25,4,Simplified,64,Long Ton,503877
7,4,Simplified,111,Short Ton,1198217
9,4,Simplified,64,Long Ton,1198217
9,3,Regulatory (Subpart C or D),111,Short Ton,299166
11,3,Regulatory (Subpart C or D),64,Long Ton,299166
15,4,Simplified,64,Long Ton,271784
12,4,Simplified,111,Short Ton,271784
32712,1,Convention (Subpart B),64,Long Ton,1214916
32712,4,Simplified,64,Long Ton,1214916
18563,4,Simplified,111,Short Ton,1214916
16,4,Simplified,111,Short Ton,647390
18,4,Simplified,64,Long Ton,647390
22,4,Simplified,111,Short Ton,1226459
27,4,Simplified,64,Long Ton,1226459
296,3,Regulatory (Subpart C or D),64,Long Ton,229004
1077,1,Convention (Subpart B),64,Long Ton,229004
202,3,Regulatory (Subpart C or D),111,Short Ton,229004
323,1,Convention (Subpart B),111,Short Ton,229004
15,4,Simplified,111,Short Ton,505190
17,4,Simplified,64,Long Ton,505190
17,4,Simplified,111,Short Ton,567019
21,4,Simplified,64,Long Ton,567019
17,4,Simplified,64,Long Ton,293607
16,4,Simplified,111,Short Ton,293607
9,3,Regulatory (Subpart C or D),111,Short Ton,299166
11,3,Regulatory (Subpart C or D),64,Long Ton,299166
118,1,Convention (Subpart B),64,Long Ton,500523
35,1,Convention (Subpart B),111,Short Ton,500523
11,4,Simplified,64,Long Ton,1223249
11,4,Simplified,111,Short Ton,1223249
716,4,Simplified,64,Long Ton,505721
716,4,Simplified,111,Short Ton,505721
50895,5,Dead Weight,75,Metric Ton,1159001
61327,6,Displacement,75,Metric Ton,1159001
13613,1,Convention (Subpart B),111,Short Ton,1159001
29814,1,Convention (Subpart B),64,Long Ton,1159001
21,4,Simplified,64,Long Ton,630222
17,4,Simplified,111,Short Ton,630222
54,4,Simplified,111,Short Ton,566831
68,4,Simplified,64,Long Ton,566831
7,4,Simplified,64,Long Ton,671291
6,4,Simplified,111,Short Ton,671291
9,4,Simplified,111,Short Ton,135
11,4,Simplified,64,Long Ton,135
7,4,Simplified,111,Short Ton,512081
8,4,Simplified,64,Long Ton,512081
13,4,Simplified,111,Short Ton,279030
14,4,Simplified,64,Long Ton,279030
12,4,Simplified,64,Long Ton,643366
9,4,Simplified,111,Short Ton,643366
14,4,Simplified,64,Long Ton,1208454
11,4,Simplified,111,Short Ton,1208454
10411,3,Regulatory (Subpart C or D),111,Short Ton,274839
31016,5,Dead Weight,120,Ton,274839
18249,3,Regulatory (Subpart C or D),64,Long Ton,274839
14,4,Simplified,64,Long Ton,241248
11,4,Simplified,111,Short Ton,241248
17136,1,Convention (Subpart B),64,Long Ton,961681
8917,1,Convention (Subpart B),111,Short Ton,961681
33190,6,Displacement,120,Ton,961681
26520,5,Dead Weight,120,Ton,961681
159981,5,Dead Weight,120,Ton,565797
83616,3,Regulatory (Subpart C or D),64,Long Ton,565797
83616,1,Convention (Subpart B),64,Long Ton,565797
48679,1,Convention (Subpart B),111,Short Ton,565797
48679,3,Regulatory (Subpart C or D),111,Short Ton,565797
65,4,Simplified,111,Short Ton,680231
82,4,Simplified,64,Long Ton,680231
24,4,Simplified,111,Short Ton,680234
30,4,Simplified,64,Long Ton,680234
25,4,Simplified,64,Long Ton,287829
20,4,Simplified,111,Short Ton,287829
5,4,Simplified,111,Short Ton,1231040
5,4,Simplified,64,Long Ton,1231040
13,4,Simplified,111,Short Ton,274942
17,4,Simplified,64,Long Ton,274942
13,4,Simplified,111,Short Ton,274942
17,4,Simplified,64,Long Ton,274942
10,4,Simplified,64,Long Ton,507015
9,4,Simplified,111,Short Ton,507015
81285,5,Dead Weight,75,Metric Ton,1223373
95128,6,Displacement,75,Metric Ton,1223373
27662,1,Convention (Subpart B),111,Short Ton,1223373
43990,1,Convention (Subpart B),64,Long Ton,1223373
29499,1,Convention (Subpart B),64,Long Ton,636187
17889,1,Convention (Subpart B),111,Short Ton,636187
52064,5,Dead Weight,120,Ton,636187
60531,6,Displacement,120,Ton,636187
5,4,Simplified,111,Short Ton,1064846
5,4,Simplified,64,Long Ton,1064846
31,4,Simplified,64,Long Ton,629754
24,4,Simplified,111,Short Ton,629754
3,4,Simplified,64,Long Ton,572916
3,4,Simplified,111,Short Ton,572916
15,4,Simplified,111,Short Ton,651185
18,4,Simplified,64,Long Ton,651185
21,4,Simplified,64,Long Ton,990467
17,4,Simplified,111,Short Ton,990467
15,4,Simplified,111,Short Ton,1168245
19,4,Simplified,64,Long Ton,1168245
74,4,Simplified,64,Long Ton,564341
59,4,Simplified,111,Short Ton,564341
7,4,Simplified,111,Short Ton,261329
8,4,Simplified,64,Long Ton,261329
672,4,Simplified,64,Long Ton,273238
672,4,Simplified,111,Short Ton,273238
12,4,Simplified,111,Short Ton,275049
15,4,Simplified,64,Long Ton,275049
6,4,Simplified,64,Long Ton,1235070
5,4,Simplified,111,Short Ton,1235070
8,4,Simplified,64,Long Ton,251877
7,4,Simplified,111,Short Ton,251877
31,4,Simplified,64,Long Ton,629754
24,4,Simplified,111,Short Ton,629754
745,4,Simplified,111,Short Ton,1229342
745,4,Simplified,64,Long Ton,1229342
11,4,Simplified,111,Short Ton,292153
14,4,Simplified,64,Long Ton,292153
12,4,Simplified,64,Long Ton,998330
10,4,Simplified,111,Short Ton,998330
8,4,Simplified,64,Long Ton,251877
7,4,Simplified,111,Short Ton,251877
8,4,Simplified,111,Short Ton,1239202
8,4,Simplified,64,Long Ton,1239202
12,4,Simplified,111,Short Ton,582430
15,4,Simplified,64,Long Ton,582430
22,4,Simplified,111,Short Ton,290076
28,4,Simplified,64,Long Ton,290076
32,4,Simplified,64,Long Ton,561963
26,4,Simplified,111,Short Ton,561963
27,4,Simplified,64,Long Ton,1233867
22,4,Simplified,111,Short Ton,1233867
9,4,Simplified,111,Short Ton,278650
10,4,Simplified,64,Long Ton,278650
10,4,Simplified,111,Short Ton,512604
13,4,Simplified,64,Long Ton,512604
19,4,Simplified,64,Long Ton,955889
15,4,Simplified,111,Short Ton,955889
9,4,Simplified,111,Short Ton,236505
10,4,Simplified,64,Long Ton,236505
6326,1,Convention (Subpart B),111,Short Ton,975597
19701,5,Dead Weight,120,Ton,975597
25180,6,Displacement,120,Ton,975597
11645,1,Convention (Subpart B),64,Long Ton,975597
14,4,Simplified,111,Short Ton,292626
14,4,Simplified,64,Long Ton,292626
33,4,Simplified,64,Long Ton,562688
26,4,Simplified,111,Short Ton,562688
7,4,Simplified,64,Long Ton,1186714
6,4,Simplified,111,Short Ton,1186714
22,4,Simplified,64,Long Ton,575929
17,4,Simplified,111,Short Ton,575929
25,4,Simplified,64,Long Ton,287829
20,4,Simplified,111,Short Ton,287829
11,4,Simplified,111,Short Ton,503918
13,4,Simplified,64,Long Ton,503918
14,4,Simplified,64,Long Ton,617985
11,4,Simplified,111,Short Ton,617985
7,4,Simplified,64,Long Ton,1063768
6,4,Simplified,111,Short Ton,1063768
8,4,Simplified,64,Long Ton,561392
6,4,Simplified,111,Short Ton,561392
15,4,Simplified,111,Short Ton,278780
16,4,Simplified,64,Long Ton,278780
7,4,Simplified,111,Short Ton,1174301
7,4,Simplified,64,Long Ton,1174301
6,4,Simplified,111,Short Ton,265184
7,4,Simplified,64,Long Ton,265184
14,4,Simplified,64,Long Ton,606075
11,4,Simplified,111,Short Ton,606075
31,4,Simplified,64,Long Ton,630586
25,4,Simplified,111,Short Ton,630586
6,4,Simplified,111,Short Ton,1225582
7,4,Simplified,64,Long Ton,1225582
31,4,Simplified,64,Long Ton,629754
24,4,Simplified,111,Short Ton,629754
745,4,Simplified,111,Short Ton,1229342
745,4,Simplified,64,Long Ton,1229342
8,3,Regulatory (Subpart C or D),111,Short Ton,96044
10,3,Regulatory (Subpart C or D),64,Long Ton,96044
26,4,Simplified,111,Short Ton,261152
29,4,Simplified,64,Long Ton,261152
6,4,Simplified,111,Short Ton,586350
7,4,Simplified,64,Long Ton,586350
33,4,Simplified,64,Long Ton,562688
26,4,Simplified,111,Short Ton,562688
20,4,Simplified,111,Short Ton,567988
26,4,Simplified,64,Long Ton,567988
802,1,Convention (Subpart B),64,Long Ton,1053010
19,4,Simplified,111,Short Ton,1114113
21,4,Simplified,64,Long Ton,1114113
7,4,Simplified,111,Short Ton,596450
9,4,Simplified,64,Long Ton,596450
10,4,Simplified,64,Long Ton,565395
9,4,Simplified,111,Short Ton,565395
89000,5,Dead Weight,120,Ton,508468
48937,4,Simplified,64,Long Ton,508468
28041,4,Simplified,111,Short Ton,508468
35,4,Simplified,111,Short Ton,586641
44,4,Simplified,64,Long Ton,586641
9,4,Simplified,64,Long Ton,287746
7,4,Simplified,111,Short Ton,287746
9,4,Simplified,64,Long Ton,577889
7,4,Simplified,111,Short Ton,577889
29,4,Simplified,111,Short Ton,289740
36,4,Simplified,64,Long Ton,289740
25,4,Simplified,64,Long Ton,272165
20,4,Simplified,111,Short Ton,272165
15,4,Simplified,64,Long Ton,1218299
12,4,Simplified,111,Short Ton,1218299
8,4,Simplified,64,Long Ton,272878
7,4,Simplified,111,Short Ton,272878
